Feature,Importance
employee_residence_US,0.5649789338947131
experience_level_EN,0.10234573034384709
employee_residence_CA,0.06279947955207911
experience_level_SE,0.04162256659026948
remote_ratio^2,0.02868794574094108
work_year,0.022255514075372265
company_location_ES,0.02037348879393123
work_year remote_ratio,0.01951976319578256
experience_level_MI,0.016142266549409284
remote_ratio,0.015060556019206776
employee_residence_ES,0.013103581857773543
company_location_IN,0.012828442400443979
experience_level_EX,0.012146830679977115
company_size_M,0.010928521015064271
company_location_GB,0.009455299860292116
work_year^2,0.007949732656936515
company_location_CA,0.006017280513937112
company_location_IE,0.004993544546574572
company_size_S,0.004930877036990518
employee_residence_IE,0.004393668748383141
employee_residence_IN,0.003678875220132975
employee_residence_DE,0.0023508639589828353
employee_residence_CH,0.002093460865069619
company_location_CH,0.0019023411642714884
company_location_FR,0.0011126119531114735
employee_residence_GB,0.000899811514982101
company_location_US,0.0007973331830977464
employee_residence_DZ,0.0007116273527031225
company_location_PL,0.0007072839857767024
company_location_DZ,0.0005400105236553304
company_size_L,0.0005379275934644991
employee_residence_RS,0.0004889305907264077
company_location_IT,0.00046566427505866076
employee_residence_PL,0.00045693681671036017
employee_residence_IT,0.0004237535831709734
employment_type_FT,0.000408394400822659
employment_type_PT,0.00040464586278707684
company_location_NL,0.00039784379101124695
employee_residence_NL,0.0002553604542854714
company_location_HU,0.00025205128989054727
employee_residence_HU,0.00023623759315209047
company_location_AU,0.00010231401215557247
employee_residence_AU,8.254749426779335e-05
employee_residence_FR,6.023170683905588e-05
employee_residence_CL,5.8795501341638656e-05
company_location_CL,3.856399824881541e-05
company_location_ID,1.557242358781885e-06
employee_residence_NG,0.0
employee_residence_JP,0.0
employee_residence_HK,0.0
employee_residence_BE,0.0
employment_type_FL,0.0
1,0.0
employee_residence_AT,0.0
employee_residence_PH,0.0
company_location_DE,0.0
company_location_BE,0.0
employee_residence_RU,0.0
company_location_AT,0.0
company_location_LU,0.0
company_location_HK,0.0
company_location_MY,0.0
company_location_NG,0.0
